,wind_spd,wind_dir,turb_int,yaw_angles_opt,totalpower_stochastic,totalpower
0,10,90.0,0.025,"[ 0.    0.    0.   13.75 15.   13.75 17.5  16.25 17.5  25.   25.   25.
 31.25 32.5  31.25 33.75 32.5  32.5 ]","[1488.10899522 1578.41724152 1736.57409745 1691.08586579 1676.83006861
 1612.64237053 1494.05787428 1692.32439701 1316.00645291 1466.82357669
 1241.20247068 1501.94641523  736.33130472 1001.40397144  983.80152945
 2326.36167534 2228.61767132 2201.01465151]","[1482.45536751 1573.14424196 1727.42748772 1683.41753695 1669.82064768
 1607.38825527 1488.6666631  1684.53063894 1311.7384407  1460.71523542
 1237.04427198 1496.67652784  732.56503109  997.83334177  980.25081167
 2318.65108512 2221.09290725 2193.44910155]"
1,10,90.0,0.05,"[ 0.    0.    0.   12.5  13.75 12.5  16.25 16.25 16.25 21.25 25.   25.
 31.25 31.25 30.   33.75 32.5  32.5 ]","[1433.30748424 1535.29393858 1677.75960667 1610.31683326 1640.68168473
 1573.00189037 1405.22559832 1627.27260639 1311.40083997 1518.06650296
 1222.25141789 1473.63403946  757.12096198 1038.51616315 1021.81417528
 2326.36167534 2228.61767132 2201.01465151]","[1426.06110255 1530.12700263 1670.79757472 1605.09791504 1635.20017766
 1567.80257139 1398.23020283 1622.0386671  1307.12912576 1512.94274873
 1217.87432085 1467.66064823  754.00867215 1034.88637237 1018.21460408
 2318.65108512 2221.09290725 2193.44910155]"
2,10,90.0,0.075,"[ 0.    0.    0.   12.5  12.5  11.25 15.   16.25 16.25 21.25 17.5  21.25
 30.   31.25 31.25 32.5  30.   30.  ]","[1438.39289825 1495.44142865 1635.3433623  1577.82787839 1597.04063173
 1533.70415574 1413.29839072 1499.87919507 1242.89183725 1508.1407652
 1326.30259972 1506.67472557  810.87980236 1041.16619385 1004.45984142
 2368.09212756 2317.02081011 2291.91748601]","[1431.26620195 1489.95855248 1630.02012934 1572.72439854 1591.81674249
 1528.62016629 1405.54917882 1494.53684981 1238.66356087 1502.85349855
 1321.94279398 1501.35933488  807.99852252 1037.59764306 1000.93916927
 2359.05407044 2309.39670719 2284.32159176]"
3,10,92.0,0.025,"[ 0.    0.    0.   12.5  10.   10.   15.   15.   15.   25.   25.   25.
 30.   28.75 26.25 28.75 27.5  27.5 ]","[1452.01383078 1560.4905992  1855.73663963 1798.75190922 1903.93994779
 1830.45057598 1735.58615812 1903.93832646 1510.63279228 1739.6907919
 1437.39160075 1674.95936967  881.37637797 1209.98484775 1217.3836499
 2483.48622216 2399.27431031 2375.78639887]","[1445.57845379 1555.0870888  1849.22676259 1791.89647089 1897.26879937
 1824.21711172 1726.72021007 1897.78080442 1505.84338803 1730.78310022
 1430.20288344 1668.16352973  877.92232144 1205.20933635 1212.79014456
 2471.50763948 2388.99467959 2366.4772918 ]"
4,10,92.0,0.05,"[ 0.    0.    0.   10.   10.   10.   16.25 15.   15.   25.   18.75 25.
 28.75 30.   27.5  28.75 28.75 25.  ]","[1428.73548405 1511.07459664 1820.03199441 1789.41676416 1795.88965705
 1785.46722785 1690.51535262 1780.95467681 1492.16382481 1698.72091812
 1590.44582643 1658.36526199  926.05072194 1253.47971699 1132.38085244
 2483.48622216 2358.99947201 2453.91599264]","[1421.45211717 1505.86653441 1813.40867078 1782.40828456 1788.55615049
 1778.17068615 1683.01193396 1773.78004025 1487.13233192 1690.44826539
 1585.26348677 1652.1582245   920.73236745 1249.1346175  1126.9598865
 2471.50763948 2350.28172642 2441.03887746]"
5,10,92.0,0.075,"[ 0.    0.    0.   10.    8.75  8.75 16.25 15.   16.25 25.   17.5  17.5
 27.5  28.75 28.75 28.75 28.75 28.75]","[1452.0497291  1480.75496179 1722.98965307 1760.75400748 1741.30293894
 1723.31102448 1664.65735574 1721.61919224 1368.35107882 1664.94464741
 1574.76001609 1785.65914753  994.8229933  1324.8255098  1284.41445266
 2483.48622216 2358.99947201 2334.35763853]","[1445.66043843 1475.46078081 1713.7523622  1752.89323498 1732.60835748
 1713.76396769 1658.4616753  1712.2970588  1363.53166082 1658.43335185
 1569.53378744 1778.25992054  991.29726545 1320.44946574 1280.08976313
 2471.50763948 2350.28172642 2326.48670384]"
6,10,94.0,0.025,"[ 0.    0.    0.   18.75 12.5  13.75 21.25 21.25 20.   25.   22.5  22.5
 26.25 27.5  26.25 25.   25.   26.25]","[1781.75934641 1688.73572227 1941.41467197 2045.64423561 2084.89571599
 1958.31686934 1807.41780473 1965.9633763  1581.01420254 1975.63007197
 1716.64889993 1995.52705095 1153.01407222 1503.46497277 1525.73903109
 2580.02097298 2475.54528015 2415.46166373]","[1774.39110984 1681.1805467  1934.98357945 2035.27418256 2074.31761608
 1951.80178502 1800.67250201 1959.38604624 1575.60167839 1968.7170263
 1706.9166781  1987.9475136  1146.34929153 1498.04355786 1520.53734409
 2570.55430802 2463.32540092 2404.29744286]"
7,10,94.0,0.05,"[ 0.    0.    0.   17.5  13.75 13.75 20.   20.   20.   25.   22.5  21.25
 26.25 26.25 26.25 25.   26.25 26.25]","[1738.40540114 1739.37379641 1972.22158787 2006.84823767 2032.12764674
 1934.16366522 1822.8600652  1959.96579958 1552.7280487  1950.07464027
 1692.66396581 1998.74243949 1173.62487075 1582.48272021 1540.09406025
 2580.02097298 2438.30597444 2415.46166373]","[1729.44764384 1730.36173384 1965.4603664  1998.72992429 2022.68509176
 1927.79177105 1816.46994028 1953.46709068 1547.42996308 1943.67785278
 1685.05910685 1991.03830168 1167.68526569 1577.19953511 1534.86966144
 2570.55430802 2425.53940274 2404.29744286]"
8,10,94.0,0.075,"[ 0.    0.    0.   17.5  13.75 13.75 20.   18.75 18.75 22.5  21.25 21.25
 26.25 26.25 25.   26.25 26.25 25.  ]","[1729.84723345 1738.77103994 1967.44888926 1961.12320846 1972.79741637
 1887.3374109  1757.82521363 1928.74381057 1562.9081801  1970.29298971
 1707.34450511 1939.16704743 1242.1537931  1613.91626223 1553.36864554
 2550.00097095 2438.30597444 2453.91599264]","[1720.53431002 1729.66396114 1960.86197175 1954.64449125 1966.0047321
 1880.99236409 1749.69192985 1922.35417879 1557.52606875 1963.5142256
 1698.6152376  1932.99235787 1237.83899303 1608.62230848 1548.14342805
 2539.94592507 2425.53940274 2441.03887746]"
9,10,96.0,0.025,"[ 0.    0.    0.   17.5  12.5  12.5  18.75 16.25 15.   20.   16.25 17.5
 25.   21.25 22.5  25.   25.   25.  ]","[1902.15023557 1549.34732031 1809.95573827 2171.37890362 1894.22134696
 1813.81821267 1938.41490219 2078.98781319 1711.67581391 2292.71181843
 1940.69608415 2201.44411355 1515.67376693 1964.84436168 1904.43769542
 2580.02097298 2475.54528015 2453.91599264]","[1895.76726825 1544.07181926 1803.17774769 2163.32564473 1887.77508955
 1806.99065659 1932.04538033 2068.20209188 1702.26011274 2285.12286341
 1934.42678123 2193.95006965 1510.41973456 1958.25849251 1898.09219283
 2570.55430802 2463.32540092 2441.03887746]"
